,0
0,0.17030633113369795
1,0.14450234156798614
2,0.12901994782855905
3,0.11869835200227433
4,0.11353755408913198
5,0.1083767561759896
6,0.1083767561759896
7,0.10321595826284724
8,0.10321595826284724
9,0.1083767561759896
10,0.11353755408913198
11,0.12385914991541667
12,0.15998473530741322
13,0.20127111861255206
14,0.2683614914834028
15,0.32513026852796884
16,0.31996947061482645
17,0.2941654810491146
18,0.2683614914834028
19,0.2580398956571181
20,0.2528790977439757
21,0.2477182998308334
22,0.242557501917691
23,0.242557501917691
24,0.2528790977439757
25,0.2528790977439757
26,0.242557501917691
27,0.2322359060914063
28,0.22707510817826396
29,0.23739670400454865
30,0.242557501917691
31,0.2735222893965452
32,0.33029106644111117
33,0.40254223722510424
34,0.4593110142696702
35,0.4747934080090973
36,0.4747934080090973
37,0.469632610095955
38,0.4541502163565278
39,0.4335070247039584
40,0.41286383305138896
41,0.40254223722510424
42,0.3973814393119619
43,0.37157744974625007
44,0.3457734601805383
45,0.30448707687539933
46,0.2528790977439757
47,0.21159271443883684
48,0.17030633113369795
49,0.14450234156798614
50,0.12901994782855905
51,0.11869835200227433
52,0.11353755408913198
53,0.1083767561759896
54,0.1083767561759896
55,0.10321595826284724
56,0.10321595826284724
57,0.1083767561759896
58,0.11353755408913198
59,0.12385914991541667
60,0.15998473530741322
61,0.20127111861255206
62,0.2683614914834028
63,0.32513026852796884
64,0.31996947061482645
65,0.2941654810491146
66,0.2683614914834028
67,0.2580398956571181
68,0.2528790977439757
69,0.2477182998308334
70,0.242557501917691
71,0.242557501917691
72,0.2528790977439757
73,0.2528790977439757
74,0.242557501917691
75,0.2322359060914063
76,0.22707510817826396
77,0.23739670400454865
78,0.242557501917691
79,0.2735222893965452
80,0.33029106644111117
81,0.40254223722510424
82,0.4593110142696702
83,0.4747934080090973
84,0.4747934080090973
85,0.469632610095955
86,0.4541502163565278
87,0.4335070247039584
88,0.41286383305138896
89,0.40254223722510424
90,0.3973814393119619
91,0.37157744974625007
92,0.3457734601805383
93,0.30448707687539933
94,0.2528790977439757
95,0.21159271443883684
96,0.17030633113369795
97,0.14450234156798614
98,0.12901994782855905
99,0.11869835200227433
100,0.11353755408913198
101,0.1083767561759896
102,0.1083767561759896
103,0.10321595826284724
104,0.10321595826284724
105,0.1083767561759896
106,0.11353755408913198
107,0.12385914991541667
108,0.15998473530741322
109,0.20127111861255206
110,0.2683614914834028
111,0.32513026852796884
112,0.31996947061482645
113,0.2941654810491146
114,0.2683614914834028
115,0.2580398956571181
116,0.2528790977439757
117,0.2477182998308334
118,0.242557501917691
119,0.242557501917691
120,0.2528790977439757
121,0.2528790977439757
122,0.242557501917691
123,0.2322359060914063
124,0.22707510817826396
125,0.23739670400454865
126,0.242557501917691
127,0.2735222893965452
128,0.33029106644111117
129,0.40254223722510424
130,0.4593110142696702
131,0.4747934080090973
132,0.4747934080090973
133,0.469632610095955
134,0.4541502163565278
135,0.4335070247039584
136,0.41286383305138896
137,0.40254223722510424
138,0.3973814393119619
139,0.37157744974625007
140,0.3457734601805383
141,0.30448707687539933
142,0.2528790977439757
143,0.21159271443883684
144,0.17030633113369795
145,0.14450234156798614
146,0.12901994782855905
147,0.11869835200227433
148,0.11353755408913198
149,0.1083767561759896
150,0.1083767561759896
151,0.10321595826284724
152,0.10321595826284724
153,0.1083767561759896
154,0.11353755408913198
