,Datetime,Energy (MWh)
223,2019-08-12,7.983093
224,2019-08-13,10.618562
225,2019-08-14,24.299204
226,2019-08-15,23.851768
227,2019-08-16,30.791378
228,2019-08-17,23.688176000000002
229,2019-08-18,21.816529
230,2019-08-19,22.335682000000002
231,2019-08-20,14.733152
232,2019-08-21,12.358353
233,2019-08-22,16.727654
234,2019-08-23,5.491956
235,2019-08-24,7.216227
236,2019-08-25,9.277433
237,2019-08-26,3.99081
238,2019-08-27,4.748598
239,2019-08-28,10.864103
240,2019-08-29,14.445515
241,2019-08-30,20.173415
242,2019-08-31,21.878342
243,2019-09-01,13.247642
244,2019-09-02,16.150194
245,2019-09-03,17.739796
246,2019-09-04,29.268064
247,2019-09-05,18.179685
248,2019-09-06,21.002985
249,2019-09-07,13.612425
250,2019-09-08,3.616229
251,2019-09-09,7.917923
252,2019-09-10,6.763665
253,2019-09-11,24.524476
254,2019-09-12,22.798552
255,2019-09-13,10.653374
256,2019-09-14,5.439526
257,2019-09-15,9.885715000000001
258,2019-09-16,6.8409699999999996
259,2019-09-17,11.211359999999999
260,2019-09-18,3.787413
261,2019-09-19,3.9473949999999998
262,2019-09-20,18.492054
263,2019-09-21,20.854846
264,2019-09-22,15.927419
265,2019-09-23,23.803905999999998
266,2019-09-24,21.664353
267,2019-09-25,20.476144
268,2019-09-26,28.259942
269,2019-09-27,30.858172
270,2019-09-28,30.650399
271,2019-09-29,35.764944
272,2019-09-30,17.377095
273,2019-10-01,17.749797
274,2019-10-02,9.006945
275,2019-10-03,17.156395
276,2019-10-04,19.09251
277,2019-10-05,8.696972
278,2019-10-06,24.987434
279,2019-10-07,16.681837
280,2019-10-08,26.195901
281,2019-10-09,22.324208
282,2019-10-10,30.271223
283,2019-10-11,30.339555
284,2019-10-12,8.868742
285,2019-10-13,22.535043
286,2019-10-14,12.313981
287,2019-10-15,9.052552
288,2019-10-16,16.97946
289,2019-10-17,18.336539000000002
290,2019-10-18,31.50442
291,2019-10-19,14.492792999999999
292,2019-10-20,14.233031
293,2019-10-21,17.585958
294,2019-10-22,4.01084
295,2019-10-23,4.081895
296,2019-10-24,9.357506
297,2019-10-25,31.591754
298,2019-10-26,30.664122
299,2019-10-27,9.057228
300,2019-10-28,9.065596
301,2019-10-29,17.864038
302,2019-10-30,19.882483
303,2019-10-31,13.738695
304,2019-11-01,23.38233
305,2019-11-02,38.009208
306,2019-11-03,10.298263
307,2019-11-04,6.396555
308,2019-11-05,19.865333
309,2019-11-06,8.346272
310,2019-11-07,10.279847
311,2019-11-08,12.851426
312,2019-11-09,5.730188
313,2019-11-10,12.508167
314,2019-11-11,27.597365
315,2019-11-12,28.378742
316,2019-11-13,13.364266
317,2019-11-14,5.526619
318,2019-11-15,25.036346
319,2019-11-16,6.421853
320,2019-11-17,6.254341
321,2019-11-18,11.143442
322,2019-11-19,10.067291
323,2019-11-20,20.947866
324,2019-11-21,16.574512
325,2019-11-22,19.759560999999998
326,2019-11-23,16.534418
327,2019-11-24,7.002689
328,2019-11-25,18.917789
329,2019-11-26,23.707034
330,2019-11-27,8.409227
331,2019-11-28,12.264705
332,2019-11-29,4.661565
333,2019-11-30,13.761749
334,2019-12-01,16.966822
335,2019-12-02,5.580478
336,2019-12-03,6.186403
337,2019-12-04,4.362228
338,2019-12-05,21.175679
339,2019-12-06,35.907533
340,2019-12-07,24.062879
341,2019-12-08,42.059252
342,2019-12-09,31.030035
343,2019-12-10,34.129326
344,2019-12-11,16.085411
345,2019-12-12,21.885284
346,2019-12-13,35.615736
347,2019-12-14,34.755168
348,2019-12-15,33.851538
349,2019-12-16,9.753624
350,2019-12-17,5.48482
351,2019-12-18,24.221493
352,2019-12-19,33.096663
353,2019-12-20,10.651754
354,2019-12-21,19.861604
355,2019-12-22,19.313755
356,2019-12-23,23.766539
357,2019-12-24,29.571627
358,2019-12-25,8.374816000000001
359,2019-12-26,21.613233
360,2019-12-27,4.7074940000000005
361,2019-12-28,12.252134
362,2019-12-29,15.097751
363,2019-12-30,11.118208
364,2019-12-31,10.651168
