,Heat
143,4.222770105
144,4.458089705
145,4.274555175
146,4.337175176
147,4.497903516
148,4.74523293
149,5.012708617
150,5.368461596
151,5.761885511
152,5.732641041
153,6.276805475
154,6.960652074
155,7.514215321
156,8.552350712
157,10.54480761
158,11.97081507
159,12.33291171
160,11.799358
161,10.55683417
162,8.96621394
163,7.760522522
164,6.761048596
165,6.336799826
166,6.068965312
167,5.764912908
168,5.63477086
169,5.541074828
170,5.451483094
171,5.361178535
172,5.281850039
173,5.269576843
174,5.391479536
175,5.681050966
176,6.200817983
177,6.864887482
178,7.366294943
179,7.734294852
180,8.181847548
181,8.571428566
182,8.706071975
183,8.673499341
184,8.586559725
185,8.48711843
186,8.341341028
187,8.049095426
188,7.387124028
189,5.878226543
190,5.267998631
191,4.641624234
192,3.722212178
193,3.568972897
194,3.621256487
195,3.755454096
196,3.961957917
197,4.185282552
198,4.482312931
199,4.810796067
200,4.786378855
201,5.240720427
202,5.811687435
203,6.273876398
204,7.140651284
205,8.804221968
206,9.994844558
207,10.29717148
208,9.851689162
209,8.814263356
210,7.486199904
211,6.479526737
212,5.645031636
213,5.290811771
214,5.067187538
215,4.813323745
216,4.70466368
217,4.626433645
218,4.55163043
219,4.476232053
220,4.409997968
221,4.399750655
222,4.5015314
223,4.74330453
224,5.17727586
225,5.731730288
226,6.150372595
227,6.457628355
228,6.83130547
229,7.156580039
230,7.268998444
231,7.241802434
232,7.169213563
233,7.086186611
234,6.964472053
235,6.720466164
236,6.167763513
237,4.907933189
238,4.398432952
239,3.875451459
240,3.519962499
241,3.609619832
242,3.677969502
243,3.738178805
244,3.812055053
245,3.901954375
246,4.024848108
247,4.149363097
248,4.370772318
249,4.687320072
250,5.080903879
251,5.620329368
252,6.333678663
253,7.540170966
254,8.37172283
255,8.365427508
256,8.089121597
257,7.647519504
258,7.220074999
259,6.831340083
260,6.370125031
261,6.125267871
262,6.025374447
263,6.003556501
264,6.017373529
265,6.068846375
266,5.999064791
267,6.096697381
268,6.24987178
269,6.431217924
270,6.594573396
271,6.807816636
272,6.997034809
273,7.194780491
274,7.380974948
275,7.472650444
276,7.420356716
277,7.288583386
278,7.083971277
279,6.882659011
280,6.758969312
281,6.740374723
282,6.637305356
283,6.142148254
284,5.505373455
285,4.616936495
286,3.785665708
287,3.430305166
288,3.528189966
289,3.618056861
290,3.68656629
291,3.746916324
292,3.820965249
293,3.911074699
294,4.034255681
295,4.159061708
296,4.380988445
297,4.69827609
298,5.092779849
299,5.633466176
300,6.348482835
301,7.557795161
302,8.391290672
303,8.384980636
304,8.108028895
305,7.665394613
306,7.23695101
307,6.847307476
308,6.385014392
309,6.139584909
310,6.039457997
311,6.017589054
312,6.031438378
313,6.083031535
314,6.013086846
315,6.11094764
316,6.264480065
317,6.446250082
318,6.609987377
319,6.823729046
320,7.013389492
321,7.21159738
