,Datetime,Energy (MWh)
187,2019-07-07,88.95
188,2019-07-08,112.225
189,2019-07-09,118.87499999999999
190,2019-07-10,98.3
191,2019-07-11,132.34999999999997
192,2019-07-12,124.74999999999999
193,2019-07-13,132.70000000000002
194,2019-07-14,111.77499999999998
195,2019-07-15,149.2
196,2019-07-16,143.12500000000003
197,2019-07-17,76.99999999999999
198,2019-07-18,116.00000000000001
199,2019-07-19,63.425000000000004
200,2019-07-20,128.35000000000002
201,2019-07-21,121.89999999999999
202,2019-07-22,136.62500000000003
203,2019-07-23,138.57500000000002
204,2019-07-24,129.79999999999998
205,2019-07-25,123.25
206,2019-07-26,80.525
207,2019-07-27,56.00000000000001
208,2019-07-28,113.45
209,2019-07-29,125.9
210,2019-07-30,78.6
211,2019-07-31,132.29999999999998
212,2019-08-01,133.02500000000003
213,2019-08-02,136.325
214,2019-08-03,66.0
215,2019-08-04,60.55
216,2019-08-05,131.675
217,2019-08-06,103.8
218,2019-08-07,130.12500000000003
219,2019-08-08,116.22500000000001
220,2019-08-09,113.675
221,2019-08-10,120.175
222,2019-08-11,136.29999999999998
223,2019-08-12,106.425
224,2019-08-13,135.5
225,2019-08-14,56.075
226,2019-08-15,141.42500000000004
227,2019-08-16,37.87499999999999
228,2019-08-17,133.37499999999997
229,2019-08-18,134.0
230,2019-08-19,120.05
231,2019-08-20,143.475
232,2019-08-21,119.22500000000002
233,2019-08-22,124.24999999999999
234,2019-08-23,136.05
235,2019-08-24,133.7
236,2019-08-25,119.27499999999999
237,2019-08-26,130.95
238,2019-08-27,93.20000000000002
239,2019-08-28,103.225
240,2019-08-29,126.95
241,2019-08-30,119.875
242,2019-08-31,88.325
243,2019-09-01,136.45000000000002
244,2019-09-02,107.45
245,2019-09-03,102.02499999999999
246,2019-09-04,135.1
247,2019-09-05,138.825
248,2019-09-06,32.125
249,2019-09-07,130.10000000000002
250,2019-09-08,126.825
251,2019-09-09,35.725
252,2019-09-10,111.54999999999998
253,2019-09-11,88.27499999999999
254,2019-09-12,122.30000000000001
255,2019-09-13,134.975
256,2019-09-14,139.275
257,2019-09-15,115.75
258,2019-09-16,59.45000000000001
259,2019-09-17,136.675
260,2019-09-18,134.27499999999998
261,2019-09-19,129.4
262,2019-09-20,132.89999999999998
263,2019-09-21,127.39999999999999
264,2019-09-22,39.075
265,2019-09-23,74.70000000000002
266,2019-09-24,61.675000000000004
267,2019-09-25,82.97500000000001
268,2019-09-26,103.175
269,2019-09-27,57.225
270,2019-09-28,99.9
271,2019-09-29,87.74999999999999
272,2019-09-30,59.2
273,2019-10-01,65.15000000000002
274,2019-10-02,129.32500000000002
275,2019-10-03,74.15
276,2019-10-04,66.975
277,2019-10-05,56.975
278,2019-10-06,87.37499999999999
279,2019-10-07,33.175
280,2019-10-08,91.02500000000002
281,2019-10-09,49.025
282,2019-10-10,63.14999999999999
283,2019-10-11,20.075
284,2019-10-12,29.975
285,2019-10-13,23.850000000000005
286,2019-10-14,11.9
287,2019-10-15,62.24999999999999
288,2019-10-16,43.550000000000004
289,2019-10-17,58.37500000000001
290,2019-10-18,41.975
291,2019-10-19,78.69999999999999
292,2019-10-20,32.9
293,2019-10-21,44.575
294,2019-10-22,90.04999999999998
295,2019-10-23,36.125
296,2019-10-24,29.525000000000002
297,2019-10-25,31.575000000000003
298,2019-10-26,11.275000000000002
299,2019-10-27,105.9
300,2019-10-28,34.699999999999996
301,2019-10-29,45.475
302,2019-10-30,65.62500000000001
303,2019-10-31,38.12500000000001
304,2019-11-01,18.125
305,2019-11-02,13.225000000000001
306,2019-11-03,21.875
307,2019-11-04,22.725
308,2019-11-05,17.400000000000002
309,2019-11-06,11.425
310,2019-11-07,43.325
311,2019-11-08,29.175000000000004
312,2019-11-09,8.175
313,2019-11-10,60.125
314,2019-11-11,32.550000000000004
315,2019-11-12,22.4
316,2019-11-13,37.8
317,2019-11-14,10.85
318,2019-11-15,14.325000000000001
319,2019-11-16,57.12499999999999
320,2019-11-17,17.075000000000003
321,2019-11-18,53.95
322,2019-11-19,12.625000000000002
323,2019-11-20,27.450000000000003
324,2019-11-21,4.325
325,2019-11-22,14.6
326,2019-11-23,2.7
327,2019-11-24,10.675
328,2019-11-25,5.224999999999999
329,2019-11-26,17.950000000000003
330,2019-11-27,14.25
331,2019-11-28,13.325000000000001
332,2019-11-29,29.05
333,2019-11-30,30.675
334,2019-12-01,44.824999999999996
335,2019-12-02,45.849999999999994
336,2019-12-03,41.825
337,2019-12-04,14.05
338,2019-12-05,9.85
339,2019-12-06,15.5
340,2019-12-07,40.9
341,2019-12-08,29.500000000000004
342,2019-12-09,62.925000000000004
343,2019-12-10,1.55
344,2019-12-11,13.100000000000001
345,2019-12-12,2.225
346,2019-12-13,41.974999999999994
347,2019-12-14,38.35
348,2019-12-15,16.0
349,2019-12-16,7.049999999999999
350,2019-12-17,5.275
351,2019-12-18,10.5
352,2019-12-19,3.65
353,2019-12-20,9.675
354,2019-12-21,24.075
355,2019-12-22,18.675000000000004
356,2019-12-23,28.45
357,2019-12-24,26.525000000000002
358,2019-12-25,13.9
359,2019-12-26,5.025
360,2019-12-27,5.625
361,2019-12-28,8.725000000000001
362,2019-12-29,43.775
363,2019-12-30,37.49999999999999
364,2019-12-31,4.9750000000000005
