,Power
705,2.084366158
706,2.103151034
707,2.056238715
708,2.033359996
709,2.011495148
710,1.951762623
711,1.961887551
712,2.030077167
713,1.976047022
714,1.920252186
715,1.751748847
716,1.51657691
717,1.290909659
718,1.106277941
719,0.939847052
720,0.939847052
721,1.000810505
722,1.02253815
723,0.982890815
724,0.968457981
725,0.981361015
726,0.971159824
727,0.923291083
728,0.944751868
729,1.014023353
730,1.187792617
731,1.390142574
732,1.570143587
733,1.674916262
734,1.684236898
735,1.577850985
736,1.586102229
737,1.532829822
738,1.55344151
739,1.521789813
740,1.559374573
741,1.552848227
742,1.605150372
743,1.582487972
744,1.514963933
745,1.458185842
746,1.442244297
747,1.415211468
748,1.468314409
749,1.51151743
750,1.667239575
751,1.78298447
752,2.01746179
753,2.084366158
754,2.103151034
755,2.056238715
756,2.033359996
757,2.011495148
758,1.951762623
759,1.961887551
760,2.030077167
761,1.976047022
762,1.920252186
763,1.751748847
764,1.51657691
765,1.290909659
766,1.106277941
767,0.939847052
768,0.939847052
769,1.000810505
770,1.02253815
771,0.982890815
772,0.968457981
773,0.981361015
774,0.971159824
775,0.923291083
776,0.944751868
777,1.014023353
778,1.187792617
779,1.390142574
780,1.570143587
781,1.674916262
782,1.684236898
783,1.577850985
784,1.586102229
785,1.532829822
786,1.55344151
787,1.521789813
788,1.559374573
789,1.552848227
790,1.605150372
791,1.582487972
792,1.514963933
793,1.458185842
794,1.442244297
795,1.415211468
796,1.468314409
797,1.51151743
798,1.667239575
799,1.78298447
800,2.01746179
801,2.084366158
802,2.103151034
803,2.056238715
804,2.033359996
805,2.011495148
806,1.951762623
807,1.961887551
808,2.030077167
809,1.976047022
810,1.920252186
811,1.751748847
812,1.51657691
813,1.290909659
814,1.106277941
815,0.939847052
816,0.939847052
817,1.000810505
818,1.02253815
819,0.982890815
820,0.968457981
821,0.981361015
822,0.971159824
823,0.923291083
824,0.944751868
825,1.014023353
826,1.187792617
827,1.390142574
828,1.570143587
829,1.674916262
830,1.684236898
831,1.577850985
832,1.586102229
833,1.532829822
834,1.55344151
835,1.521789813
836,1.559374573
837,1.552848227
838,1.605150372
839,1.582487972
840,1.514963933
841,1.458185842
842,1.442244297
843,1.415211468
844,1.468314409
845,1.51151743
846,1.667239575
847,1.78298447
848,2.01746179
849,2.084366158
850,2.103151034
851,2.056238715
852,2.033359996
853,2.011495148
854,1.951762623
855,1.961887551
856,2.030077167
857,1.976047022
858,1.920252186
859,1.751748847
860,1.51657691
861,1.290909659
862,1.106277941
863,0.939847052
864,0.939847052
865,1.000810505
866,1.02253815
867,0.982890815
868,0.968457981
869,0.981361015
870,0.971159824
871,0.923291083
872,0.944751868
873,1.014023353
874,1.187792617
875,1.390142574
876,1.570143587
877,1.674916262
878,1.684236898
879,1.577850985
880,1.586102229
881,1.532829822
882,1.55344151
883,1.521789813
884,1.559374573
885,1.552848227
886,1.605150372
887,1.582487972
888,1.514963933
889,1.458185842
890,1.442244297
891,1.415211468
892,1.468314409
893,1.51151743
894,1.667239575
895,1.78298447
896,2.01746179
897,2.084366158
898,2.103151034
899,2.056238715
900,2.033359996
901,2.011495148
902,1.951762623
903,1.961887551
904,2.030077167
905,1.976047022
906,1.920252186
907,1.751748847
908,1.51657691
909,1.290909659
910,1.106277941
911,0.939847052
912,0.939847052
913,1.000810505
914,1.02253815
915,0.982890815
916,0.968457981
917,0.981361015
918,0.971159824
919,0.923291083
920,0.944751868
921,1.014023353
922,1.187792617
923,1.390142574
924,1.570143587
925,1.674916262
926,1.684236898
927,1.577850985
928,1.586102229
929,1.532829822
930,1.55344151
931,1.521789813
932,1.559374573
933,1.552848227
934,1.605150372
935,1.582487972
936,1.514963933
937,1.458185842
938,1.442244297
939,1.415211468
940,1.468314409
941,1.51151743
942,1.667239575
943,1.78298447
944,2.01746179
945,2.084366158
946,2.103151034
947,2.056238715
948,2.033359996
949,2.011495148
950,1.951762623
951,1.961887551
952,2.030077167
953,1.976047022
954,1.920252186
955,1.751748847
956,1.51657691
957,1.290909659
958,1.106277941
959,0.939847052
960,0.939847052
961,1.000810505
962,1.02253815
963,0.982890815
964,0.968457981
965,0.981361015
966,0.971159824
967,0.923291083
968,0.944751868
969,1.014023353
970,1.187792617
971,1.390142574
972,1.570143587
973,1.674916262
974,1.684236898
975,1.577850985
976,1.586102229
977,1.532829822
978,1.55344151
979,1.521789813
980,1.559374573
981,1.552848227
982,1.605150372
983,1.582487972
984,1.514963933
985,1.458185842
986,1.442244297
987,1.415211468
988,1.468314409
989,1.51151743
990,1.667239575
