DayofYear,Unnamed: 0,ANON_ID,HH,GASKWH,Month,WeekofYear,Power
27,6117383.986878076,8139.957771845753,23.42353584408066,0.32918727961619587,1.0,4.446563535200849,0.6583745592323917
28,6168292.684672844,8131.301381720258,23.5050492097586,0.3104679377738212,1.0,4.44984451639791,0.6209358755476424
29,6165003.789691121,8112.358519187942,23.438692186037503,0.32324982059482155,1.0,4.451215182519446,0.6464996411896431
30,6167900.234336043,8116.34986885989,23.550917980766116,0.3394902352805804,1.0,4.446264935401354,0.6789804705611608
31,6146280.428165053,8137.033432416019,23.69722248857353,0.35369469611809234,1.0,4.449995205676479,0.7073893922361847
32,6191521.357849117,8100.288731942215,23.499261637239165,0.4084163409719547,2.0,5.0,0.8168326819439095
33,6145362.096327629,8173.14333781965,23.583445491251684,0.3549941268795831,2.0,5.4505864256873675,0.7099882537591662
34,6162492.392208628,8086.063071474566,23.47662588538313,0.33431350714471386,2.0,5.44703799098519,0.6686270142894277
35,6151008.612057919,8123.467580727832,23.476806765761147,0.3288907979541305,2.0,5.448968477703741,0.657781595908261
36,6172972.812730687,8114.386259146539,23.422100628116297,0.2864849983673677,2.0,5.448487988085216,0.5729699967347354
37,6133884.839251733,8151.465086276407,23.36065150782132,0.35441074088942004,2.0,5.451733591356233,0.7088214817788401
38,6172418.698357711,8125.0618103669485,23.654862714908905,0.37740857943098494,2.0,5.451725686425456,0.7548171588619699
39,6186548.792658954,8106.546614675647,23.568431568431567,0.3592650918059325,2.0,6.0,0.718530183611865
40,6196679.853976782,8124.393520739391,23.539000287825,0.36811496669599286,2.0,6.445936870382807,0.7362299333919857
41,6151207.0984529285,8109.609275996269,23.69048920909588,0.3749216390869068,2.0,6.448361262101573,0.7498432781738136
42,6163020.9755350705,8129.795572709005,23.69095084686294,0.37683917374789233,2.0,6.449427450480049,0.7536783474957847
43,6128141.593830334,8125.49926092545,23.51802699228792,0.35576863206257014,2.0,6.450449871465295,0.7115372641251403
44,6171357.97208549,8133.765219600496,23.54136365079869,0.3496884545295415,2.0,6.451999110800597,0.699376909059083
45,6146622.289289191,8145.321194417397,23.580493346316132,0.3379299122280002,2.0,6.450048685491724,0.6758598244560003
46,6124260.209118991,8186.225304073621,23.63305231996911,0.3438263148454201,2.0,7.0,0.6876526296908402
47,6139877.471380796,8123.789086114863,23.455688468711813,0.289950342294709,2.0,7.449225030548589,0.579900684589418
48,6194761.3070147345,8121.558776425369,23.50845611787316,0.29231540065697476,2.0,7.448462524023062,0.5846308013139495
49,6192936.85156473,8136.813326357843,23.69185769999049,0.3024311460380342,2.0,7.663654522971559,0.6048622920760685
50,6195620.772463497,8100.866903781355,23.644795956570572,0.30904274437018653,2.0,7.662953949831524,0.6180854887403731
51,6203343.12594499,8152.539585008847,23.33282933890944,0.3176250979640582,2.0,7.448608653691491,0.6352501959281164
52,6154704.043716723,8125.044999679261,23.530213612162424,0.33886506988697823,2.0,7.449868497017127,0.6777301397739565
53,6190901.1220623655,8146.394375366187,23.52577957164247,0.32491221343911975,2.0,8.0,0.6498244268782395
54,6178089.642529142,8098.24639542725,23.580777752801772,0.30147311575968716,2.0,8.44882951735654,0.6029462315193743
55,6166422.401519579,8164.431326709527,23.546301707903112,0.27473776274502554,2.0,8.450353919085655,0.5494755254900511
56,6142167.25449507,8158.211799961333,23.634272088676934,0.2641183218405654,2.0,8.455178191660758,0.5282366436811308
57,6166902.064281284,8170.447781659103,23.598250138748327,0.28456253121403224,2.0,8.45551891874245,0.5691250624280645
58,6163563.79243011,8121.793796986364,23.37452403423699,0.27926180938657613,2.0,8.456927132489342,0.5585236187731523
59,6155310.129990744,8093.906903264929,23.539941914275683,0.27502527075322203,2.0,8.446398365940063,0.5500505415064441
60,6165145.150438766,8087.279326364692,23.614982578397214,0.29291568713053256,2.9986127242224803,9.0,0.5858313742610651
61,6146990.715280005,8141.840304060555,23.638912053370966,0.26121394927956804,3.0,9.450028866508436,0.5224278985591361
62,6134875.065717629,8134.722178887156,23.447315392615703,0.2793023533707343,3.0,9.446242849713988,0.5586047067414686
