,Demand
237,2.184968379
238,1.989928688
239,1.801271363
240,1.725642887
241,1.77409749
242,1.798662816
243,1.790908818
244,1.798501772
245,1.822974676
246,1.842509589
247,1.843535726
248,1.898650226
249,1.996741725
250,2.162524904
251,2.371834128
252,2.604833971
253,2.899076018
254,3.070430781
255,3.015975853
256,2.964712674
257,2.849552087
258,2.774171604
259,2.680419225
260,2.606755572
261,2.554407873
262,2.560534123
263,2.544829256
264,2.513837024
265,2.495766322
266,2.473807002
267,2.4798622
268,2.537119298
269,2.595073796
270,2.705681413
271,2.806301
272,2.961470689
273,3.034563344
274,3.081280671
275,3.076201954
276,3.054279695
277,3.016931743
278,2.946048553
279,2.910755583
280,2.920055322
281,2.889312743
282,2.840753847
283,2.657242056
284,2.412007018
285,2.121075654
286,1.862121695
287,1.70767001
288,1.727155199
289,1.775645532
290,1.800238096
291,1.792508092
292,1.800130487
293,1.824639217
294,1.844223105
295,1.845298863
296,1.900501598
297,1.998719246
298,2.164659274
299,2.374183466
300,2.60746759
301,2.902190441
302,3.07387659
303,3.019419152
304,2.968045862
305,2.85270929
306,2.777158464
307,2.683251169
308,2.609403714
309,2.556958437
310,2.563044878
311,2.547331316
312,2.51634459
313,2.498294401
314,2.476307272
315,2.482401378
316,2.539719518
317,2.597746285
318,2.708419001
319,2.809123569
320,2.964368665
321,3.037540124
322,3.084331653
323,3.079289469
324,3.057346371
325,3.019945905
326,2.948981174
327,2.913607978
328,2.922858425
329,2.892108436
330,2.843508465
331,2.659799348
332,2.414310545
333,2.123025126
334,1.863739893
335,1.709146592
336,1.838564679
337,1.835357054
338,1.85771532
339,1.867394731
340,1.905577769
341,1.961126764
342,2.021327708
343,2.069609703
344,2.07497202
345,2.209493856
346,2.421904451
347,2.624690757
348,2.905250002
349,3.323369054
350,3.589785385
351,3.603058402
352,3.509245621
353,3.254533413
354,2.972867142
355,2.735726195
356,2.571056483
357,2.489918775
358,2.466906504
359,2.399763852
360,2.342113133
361,2.29652537
362,2.272109259
363,2.242016661
364,2.254006699
365,2.273355358
366,2.373592725
367,2.484618516
368,2.697264912
369,2.852612802
370,2.954042921
371,2.99813633
372,3.068849143
373,3.129427688
374,3.124276388
375,3.123359863
376,3.141496152
377,3.096227769
378,3.041571647
379,2.903675767
380,2.664579217
381,2.274774395
382,2.070445919
383,1.872254031
384,1.837195821
385,1.834049061
386,1.85638656
387,1.866012669
388,1.904113687
389,1.95957398
390,2.019656948
391,2.067808474
392,2.073180489
393,2.207521866
394,2.419705681
395,2.622308411
396,2.902523385
397,3.319981688
398,3.58592512
399,3.599078057
400,3.505442216
401,3.251142059
402,2.970003278
403,2.733262168
404,2.568923906
405,2.48792689
406,2.465003439
407,2.397961619
408,2.340354058
409,2.294797367
410,2.270410967
411,2.240348316
412,2.252364662
413,2.271717391
414,2.371914332
415,2.482844094
416,2.695318122
417,2.85044579
