,Power
197,4.185282552484481
198,4.482312930703912
199,4.81079606742162
200,4.786378855242841
201,5.24072042675711
202,5.8116874345532965
203,6.273876397870279
204,7.140651283625839
205,8.804221968480368
206,9.994844558103177
207,10.297171475366081
208,9.851689162240055
209,8.814263355796745
210,7.486199903833985
211,6.479526737375737
212,5.645031636389159
213,5.290811770754851
214,5.067187537842198
215,4.813323744832154
216,4.704663679846346
217,4.626433645351402
218,4.551630430098728
219,4.476232053191195
220,4.4099979681125285
221,4.399750655145083
222,4.501531399731254
223,4.7433045299563155
224,5.177275860095658
225,5.731730288367207
226,6.15037259483937
227,6.457628355372805
228,6.831305469806819
229,7.156580039186239
230,7.2689984444694495
231,7.241802433626948
232,7.169213563186355
233,7.08618661110538
234,6.964472052517252
235,6.7204661642447725
236,6.167763512819336
237,4.907933189391867
238,4.398432951775563
239,3.8754514593688407
240,3.5199624987921596
241,3.609619831930108
242,3.677969502005244
243,3.7381788045600084
244,3.81205505267832
245,3.901954374743624
246,4.024848108167852
247,4.149363096652561
248,4.370772318016176
249,4.687320072484012
250,5.080903879129215
251,5.620329367516272
252,6.333678662965936
253,7.540170965828835
254,8.371722829853331
255,8.365427508058294
256,8.089121597100997
257,7.647519504194267
258,7.220074998847799
259,6.831340083410041
260,6.370125030754703
261,6.125267871015089
262,6.025374447099437
263,6.00355650052767
264,6.017373528768731
265,6.068846375071646
266,5.999064790862255
267,6.096697381488726
268,6.249871780469307
269,6.43121792404804
270,6.594573396355632
271,6.807816636239559
272,6.997034808938318
273,7.194780491265743
274,7.380974947560531
275,7.4726504436056205
276,7.4203567163120505
277,7.288583386238159
278,7.083971276842974
279,6.882659011375286
280,6.758969312039773
281,6.740374723414793
282,6.637305356393631
283,6.142148254418415
284,5.505373455335118
285,4.616936494843701
286,3.7856657077925164
287,3.4303051656542127
288,3.528189965638131
289,3.61805686144504
290,3.6865662902234835
291,3.7469163244027324
292,3.8209652489010644
293,3.9110746992538195
294,4.0342556812262
295,4.159061707737581
296,4.380988445134044
297,4.698276089914898
298,5.092779848895217
299,5.633466176090388
300,6.3484828352349485
301,7.557795161159214
302,8.391290672422663
303,8.384980636109683
304,8.108028895055496
305,7.66539461314679
306,7.236951010367482
307,6.847307476264116
308,6.385014391795743
309,6.139584909434941
310,6.039457997283585
311,6.017589054023012
312,6.031438377818882
313,6.083031535385517
314,6.013086845554795
315,6.110947640005221
316,6.264480064757279
317,6.4462500819950375
318,6.60998737704449
319,6.823729046012994
320,7.0133894922425375
321,7.211597380075253
322,7.398227042346448
323,7.490116818260867
