,Heat
397,1.26313138715476
398,1.43394861195806
399,1.4773230997599
400,1.41341027541877
401,1.26457201320159
402,1.07403630927309
403,0.9296100922022159
404,0.809886059998493
405,0.7590665518309059
406,0.726983445733442
407,0.6905619054586579
408,0.674972573532996
409,0.663749002348338
410,0.6530170728963081
411,0.6421997563005439
412,0.63269722989198
413,0.631227059933804
414,0.645829423840011
415,0.680516330922914
416,0.742777688052114
417,0.8223246137888829
418,0.882386733893192
419,0.926468357051184
420,0.980079373855716
421,1.02674613435964
422,1.0428746709544
423,1.0389728912146898
424,1.02855865121257
425,1.01664687189479
426,0.9991846271016981
427,0.964177388843631
428,0.884881788473886
429,0.704135411371217
430,0.631038010578738
431,0.5560064699923081
432,0.502987727581295
433,0.48228028962360503
434,0.489345444018526
435,0.5074797543739229
436,0.5353849039473301
437,0.5655630736522629
438,0.605701203292794
439,0.6500895880948481
440,0.6467900561285649
441,0.708185866913448
442,0.7853414357033149
443,0.8477976754968621
444,0.964926175760597
445,1.1897268046227099
446,1.35061729717671
447,1.39147115553175
448,1.33127250869972
449,1.19108371130778
450,1.01162064316883
451,0.8755874929464151
452,0.762821005058619
453,0.714954780151557
454,0.684736125395706
455,0.650431156671779
456,0.635747770409088
457,0.625176436644629
458,0.615068173747955
459,0.60487948582606
460,0.595929181451652
461,0.594544447745894
462,0.608298221839975
463,0.6409693624241259
464,0.699612514056713
465,0.774536714925115
466,0.831108434191409
467,0.872628334017883
468,0.923123844116086
469,0.967078650734805
470,0.982269906768237
471,0.978594871859532
472,0.968785836468371
473,0.9575662885343801
474,0.9411188303281299
475,0.908145974032277
476,0.8334584932144341
477,0.6632158629826971
478,0.594366384650158
479,0.523695165538986
480,0.47982526154994504
481,0.460071396218366
482,0.46681120192244396
483,0.48411043156995
484,0.510730555597701
485,0.53951902771689
486,0.577808805969542
487,0.620153116137592
488,0.6170055268388891
489,0.675574075041024
490,0.7491766481150329
491,0.8087567928204951
492,0.9204915533170441
493,1.1349401663260401
494,1.28842168970604
495,1.32739423753498
496,1.2699677241684801
497,1.13623458777882
498,0.965035751532039
499,0.8352668957414499
500,0.7276932779813922
501,0.682031281423577
502,0.6532041885805029
503,0.620478955562246
504,0.6064717357682089
505,0.5963872094262739
506,0.586744429648057
507,0.577024928398032
508,0.568486783425681
509,0.56716581637995
510,0.5802862324261341
511,0.6114528747044821
512,0.667395523058008
513,0.738869482176207
514,0.792836087134561
515,0.8324440053825172
516,0.8806142091695508
517,0.922544907327182
518,0.9370366096089939
519,0.9335308091896601
520,0.924173477561016
521,0.913470587158924
522,0.897780530517592
523,0.8663260664647902
524,0.795077926494743
525,0.6326749291677529
526,0.566995953047707
527,0.499579126881525
528,0.5057492168160921
529,0.484928091458362
530,0.492032034767473
531,0.5102659056093011
532,0.538324259258905
533,0.568668112311952
534,0.609026607195667
535,0.653658691873602
536,0.650341044908672
537,0.7120739292666199
538,0.789653095414701
539,0.8524522307191691
540,0.970223786617923
541,1.1962586096413201
542,1.35803241870347
543,1.39911057177558
544,1.33858142400673
545,1.19762296597774
546,1.01717461469263
547,0.8803946190516999
548,0.767009023727933
549,0.718880005003957
550,0.688495444630092
551,0.654002135720835
552,0.6392381351392039
553,0.6286087629320799
554,0.6184450039315429
555,0.608200378358548
556,0.599200935271955
557,0.5978085991397131
558,0.6116378838218579
559,0.644488394593519
560,0.7034535072264411
561,0.778789054858945
562,0.835671362605199
563,0.877419213831107
564,0.9281919529746642
565,0.972388079050377
566,0.9876627376952429
567,0.9839675262120781
568,0.9741046375275841
569,0.9628234923435209
570,0.9462857347596009
571,0.913131851805028
572,0.8380343238569209
573,0.666857032270822
574,0.5976295584469201
575,0.526570342173822
576,0.493062282563425
577,0.505621123556963
578,0.5151952722449871
579,0.52362915077619
580,0.533977440434655
581,0.546570178270252
582,0.563784641417426
583,0.581226203495629
584,0.612240322567522
585,0.656581067223691
586,0.7117127142656909
587,0.7872732813649929
588,0.887196400432342
589,1.05619702158922
590,1.17267748417554
591,1.1717956606519098
592,1.13309183264547
593,1.07123397592452
594,1.01135925750134
595,0.956906823765581
596,0.892301662008073
597,0.858003049416424
598,0.844010377725793
599,0.8409542069452159
600,0.8428896410542759
601,0.850099751700872
602,0.84032502620224
603,0.854001009399043
604,0.875457067188741
605,0.900859310399479
606,0.9237414922616001
607,0.953611753275591
608,0.980116678872198
609,1.0078161039453
610,1.0338974794295201
611,1.04673901661937
612,1.0394139202435
613,1.02095563867672
614,0.992294391935271
615,0.964095374146425
616,0.946769415274743
617,0.944164759596192
618,0.929727214485058
619,0.860367586076756
620,0.7711707165014051
621,0.646722016890564
622,0.5302809264436079
623,0.48050344156988795
624,0.48130600068850604
625,0.4935653961962221
626,0.5029112646148579
627,0.5111440507956261
628,0.521245602030873
629,0.53353808616464
630,0.5503420979586271
631,0.567367793872693
632,0.597642430857219
633,0.640925941344083
634,0.694743062400676
635,0.7685020085752751
636,0.866042620614364
637,1.03101369213904
638,1.14471686431092
639,1.14385606645945
640,1.10607506935647
641,1.0456921143376199
642,0.9872450128542359
643,0.9340909103484459
644,0.871026155389543
645,0.837545338382358
646,0.823886299578272
647,0.8209029983040941
648,0.822792285080979
649,0.829830482165925
650,0.8202888193700699
651,0.8336387206111769
652,0.8545831930044241
653,0.8793797603360659
654,0.9017163531531569
655,0.9308744055464999
656,0.9567473635653649
657,0.9837863401303442
658,1.00924584691213
659,1.0217811981773002
660,1.01463075701396
661,0.9966125836621059
662,0.9686347185288149
663,0.9411080612377091
664,0.9241952121565179
665,0.92165266032859
666,0.9075593553994991
667,0.83985349644618
668,0.752783383627879
669,0.6313019643046041
670,0.5176372255063689
671,0.46904660518079
672,0.456216949881386
673,0.437435012138404
674,0.443843206636492
675,0.460291281420194
676,0.48560164492664004
677,0.5129736696915229
678,0.5493795183324071
679,0.589640408239072
680,0.586647686295473
681,0.6423345509958579
682,0.7123157380696271
683,0.7689644268093879
684,0.875201625461249
685,1.0790989605395
686,1.2250289022716
687,1.26208392693244
688,1.20748290679073
689,1.08032969400513
690,0.91755416475631
691,0.794170182455875
692,0.691889390436567
693,0.6484740505942901
694,0.621065305318285
695,0.589950215746885
696,0.576632177696718
697,0.5670438291511359
698,0.5578754924016579
699,0.548634209022097
700,0.5405161569538329
701,0.5392601839886939
702,0.551735050715031
703,0.581368235162932
704,0.634558399260776
705,0.702515704217004
706,0.7538270499973909
707,0.7914861836492221
708,0.837286322174438
709,0.877153950564987
710,0.89093263364691
711,0.8875993252482759
712,0.8787023920587671
713,0.8685261041359829
714,0.8536080279987399
715,0.8237011831528291
716,0.755958586614956
717,0.601546124351542
718,0.5390986782541229
719,0.47499888762436704
720,0.51018141914307
721,0.4891778250099221
722,0.49634402469634203
723,0.51473769055532
724,0.5430419374187971
725,0.5736517129718499
726,0.6143638950368578
727,0.6593871190838521
728,0.656040397466684
729,0.7183142863869829
730,0.796573328151859
731,0.859922812254454
732,0.978726475266279
733,1.20674218532869
734,1.36993372125848
735,1.4113718683346999
736,1.35031226511347
737,1.20811849838818
738,1.02608876333446
